iter	TotalF1	MultiClass
727	0.9479260379	0.493740493
728	0.9482088959	0.493465953
729	0.9479331502	0.4929948655
730	0.9483400639	0.492595289
731	0.9483400639	0.4922665258
732	0.9483477242	0.4918014109
733	0.9492945277	0.491206578
734	0.9496951922	0.4908029111
735	0.9495623719	0.4905330218
736	0.9499588507	0.4899662793
737	0.9502237482	0.4897279645
738	0.9496879659	0.4891572477
739	0.95008873	0.4887496706
740	0.9500819996	0.4883358635
741	0.9504914265	0.4879988666
742	0.9510266816	0.4876171506
743	0.9515635558	0.4873090993
744	0.9510174773	0.4871421403
745	0.9511503551	0.486826528
746	0.9516854512	0.4862498049
747	0.9519555954	0.4858718454
748	0.9523597572	0.4854184278
749	0.9522247214	0.4851183223
750	0.9525033625	0.484659074
751	0.9530403923	0.4842199668
752	0.9529010497	0.4837676045
753	0.9530419287	0.4833506821
754	0.9533012816	0.4829128798
755	0.9537138923	0.4824479813
756	0.9538486991	0.4821746316
757	0.9539811953	0.4819245641
758	0.9538482652	0.4816189404
759	0.9538482652	0.4810482488
760	0.9539752769	0.4805110229
761	0.9542489099	0.4801793367
762	0.9541141094	0.4797438843
763	0.954514725	0.4794351157
764	0.9543720199	0.4792064942
765	0.9543720199	0.4788327846
766	0.9550497591	0.4785333891
767	0.9551845394	0.478468297
768	0.955178759	0.4781283449
769	0.9553197122	0.4775932093
770	0.9551791702	0.4772396209
771	0.9553236005	0.4768812646
772	0.9553178436	0.4764570809
773	0.9553178436	0.4761745956
774	0.9550462676	0.4758045989
775	0.9553197122	0.4754592966
776	0.955731606	0.4751251995
777	0.9558701622	0.4748122267
778	0.9564068869	0.4744927374
779	0.9564005391	0.4739581717
780	0.9566744294	0.4736649494
781	0.9568081778	0.473269203
782	0.9564072565	0.4727159609
783	0.9568077607	0.4722974214
784	0.9570753309	0.4719651515
785	0.9569381874	0.4714834808
786	0.9569381874	0.4708036013
787	0.9572028017	0.470511237
788	0.957338754	0.470075745
789	0.9581378393	0.4693971677
790	0.9586765824	0.4691083787
791	0.9586765824	0.4687877631
792	0.9588148026	0.4683782729
793	0.958548894	0.4679124414
794	0.9582798169	0.4675364027
795	0.9585480191	0.467001076
796	0.9589500504	0.4668005033
797	0.9589500504	0.4663629099
798	0.9593520423	0.465816569
799	0.9593520423	0.4654457357
800	0.9592178323	0.4650948597
801	0.9593504813	0.4648298259
802	0.9597487515	0.4642480396
803	0.9596179611	0.4637484308
804	0.9594853094	0.4635549839
805	0.9596163345	0.4630334002
806	0.9596163345	0.4625441641
807	0.9600198393	0.4621615881
808	0.9597489987	0.4618803096
809	0.9598810286	0.4616329941
810	0.960013746	0.4614185264
811	0.9601466566	0.4611293346
812	0.9602799713	0.4607540504
813	0.9601466566	0.4603311503
814	0.960552922	0.4599770841
815	0.9605527406	0.4593812522
816	0.9606856554	0.4590600943
817	0.9609529377	0.4586227109
818	0.9612187603	0.4580490157
819	0.9613569291	0.4577721025
820	0.9613569291	0.4574056896
821	0.9614914376	0.4570787819
822	0.9617588477	0.4566946777
823	0.9617588477	0.456556788
824	0.9614898187	0.4561649222
825	0.961895	0.4556553098
826	0.9620277842	0.455491205
827	0.9620292405	0.4551588817
828	0.9621622179	0.4547367726
829	0.9622966286	0.4544624592
830	0.9622966286	0.4541902651
831	0.9625666756	0.4536867343
832	0.9624323512	0.453651586
833	0.9622966286	0.4531040417
834	0.9624325944	0.4526413504
835	0.9629655567	0.4521710778
836	0.9629657735	0.451798852
837	0.9632359756	0.4513775664
838	0.9635005202	0.4510783718
839	0.9631048482	0.4508928306
840	0.9633721759	0.4505339883
841	0.9636380508	0.4502325749
842	0.9636382387	0.4498341321
843	0.9643102025	0.4494351953
844	0.9644385941	0.4489538939
845	0.9644385941	0.4484114715
846	0.9644385941	0.4479069059
847	0.964705925	0.447712553
848	0.9649765987	0.4473346011
849	0.9648457188	0.4469097829
850	0.964707608	0.4465453873
851	0.9653822123	0.4461674777
852	0.9652443934	0.4457893446
853	0.965781301	0.445413811
854	0.9660550791	0.4450104438
855	0.9664572864	0.4446502907
856	0.9660517177	0.4444302694
857	0.9664572864	0.4441258805
858	0.9665913113	0.4437178698
859	0.966591448	0.4433293373
860	0.9668574977	0.4430229471
861	0.9665911681	0.4426035711
862	0.9665911681	0.4423127464
863	0.966994853	0.4420307138
864	0.9671330487	0.4416667441
865	0.9675325654	0.4415254089
